"purchase_date","item_id","item_name","quantity","total_price","promo_id","promo_name","price_deduction","price_after_promo"
"2022-07-01",188,"BAPE NAVY CAMO SHARK FULLZIP HOODIE (100% AUTHENTIC) - S",2,9998000,2,"GRATIS_ONGKIR",5000,9993000
"2022-07-01",144,"Deli Laser Pointer Pen Pointer Presentasi 650 NM 3933",3,144000,2,"GRATIS_ONGKIR",5000,139000
"2022-07-01",307,"STUDIO TROPIK DreamSetter Glowy Make-up Setting Spray - 130 ml",2,315000,1,"AWAL_GAJIAN",15000,300000
"2022-07-01",356,"Emina Pore Ranger 20 mL - Primer Translucent Matte Samarkan Pori-Pori",3,154440,2,"GRATIS_ONGKIR",5000,149440
"2022-07-01",262,"VS Victoria's Secret Robe SATIN Kimono BEST SELLER ORIGINAL SALE - GREY STRIPE",2,1500000,2,"GRATIS_ONGKIR",5000,1495000
"2022-07-01",73,"T&W Pompa Air Galon Elektrik Dispenser Dengan Tatakan Water Pump - Putih",1,79900,NULL,NULL,NULL,NULL
"2022-07-01",129,"Kartu RFID 13,56 MHz S50 1K / M1fare compatible",1,1670,NULL,NULL,NULL,NULL
"2022-07-01",242,"Jaket Parka Wanita Lazea Muslimah Hijabers A104 - Mustard, L",3,387810,1,"AWAL_GAJIAN",15000,372810
"2022-07-01",211,"Jaket winter pria untuk musim dingin / outdoor - Abu Tua, XXL",1,185000,NULL,NULL,NULL,NULL
"2022-07-01",438,"CANDESARTAN OGB DEXA MEDICA 16 MG BOX 30 TABLET",3,100029,1,"AWAL_GAJIAN",15000,85029
"2022-07-01",75,"sedimen filter 10 inch / cartridge filter / spoon filter KOLON - 10 Micron",3,17400,NULL,NULL,NULL,NULL
"2022-07-01",362,"Gule - BARE Cushion - Shade 04-Kav",1,189000,NULL,NULL,NULL,NULL
"2022-07-01",417,"mGanik Multigrain Obat Penurun Gula Darah Kencing Manis ORIGINAL - Multigrain",2,550000,NULL,NULL,NULL,NULL
"2022-07-01",262,"VS Victoria's Secret Robe SATIN Kimono BEST SELLER ORIGINAL SALE - GREY STRIPE",2,1500000,1,"AWAL_GAJIAN",15000,1485000
"2022-07-01",120,"Kartu Proximity RFID EM Card 125KHz",2,3380,NULL,NULL,NULL,NULL
"2022-07-01",400,"VENTOLIN 2.5MG NEBULES 4`S/SALBUTAMOL/ASMA/SESAK NAFAS",2,104000,2,"GRATIS_ONGKIR",5000,99000
"2022-07-01",188,"BAPE NAVY CAMO SHARK FULLZIP HOODIE (100% AUTHENTIC) - S",3,14997000,1,"AWAL_GAJIAN",15000,14982000
"2022-07-01",76,"Deli Paper Shredder Penghancur Kertas Manual A4 Uk 4 Liter 9935",1,231000,1,"AWAL_GAJIAN",15000,216000
"2022-07-01",173,"Jaket Shacket Pria Shacket Jacket Premium Jaket Trucker Semiparka Pria - Hitam, M",3,267000,NULL,NULL,NULL,NULL
"2022-07-01",317,"SOMETHINC Copy Paste Breathable Mesh Cushion SPF 33 PA++ - Serene Refill",1,98750,NULL,NULL,NULL,NULL
"2022-07-01",79,"EROC Android Smart Home Proyektor - Dolby - FHD - 415 ANSI - Model MAX",3,8760000,NULL,NULL,NULL,NULL
"2022-07-01",85,"BASEUS WIRELESS PRESENTER POINTER PEN REMOTE CONTROL LASER POINTER PEN - Abu-abu",1,159000,2,"GRATIS_ONGKIR",5000,154000
"2022-07-01",20,"ErJu Timbangan Dapur Mini Digital Platform Scale 1kg 0.1g",2,110000,2,"GRATIS_ONGKIR",5000,105000
"2022-07-01",394,"ZESTMAG Madu Herbal Obat Maag, GERD Asam Lambung, Madu Magh Pencernaan",1,145000,1,"AWAL_GAJIAN",15000,130000
"2022-07-01",49,"Regulator Gas Quantum QRL 03",3,192000,1,"AWAL_GAJIAN",15000,177000
"2022-07-01",375,"YOU Noutriwear+ Flawless Cushion Foundation - REFILL-N508",2,198000,NULL,NULL,NULL,NULL
"2022-07-02",169,"Human Greatness Hoodie Black - S",1,229000,NULL,NULL,NULL,NULL
"2022-07-02",435,"AMLODIPINE BESILATE HEXPHARM 5 MG BOX 100 TABLET",1,24250,NULL,NULL,NULL,NULL
"2022-07-02",157,"JAKET BOLAK BALIK BB OUTERWEAR OUTWEAR PRIA SPORTY RUNNING WATERPROOF - Maroon, M",3,420000,2,"GRATIS_ONGKIR",5000,415000
"2022-07-02",134,"Kartu Absen APEL JERUK / Kartu Kertas Absensi / Kartu Absen Amano",2,38000,2,"GRATIS_ONGKIR",5000,33000
"2022-07-02",321,"Emina Daily Matte Loose Powder 20 g - Bedak Tabur Matte Oil Control - Natural Beige",3,88920,NULL,NULL,NULL,NULL
"2022-07-02",36,"Timbangan digital dagang sayur buah price computing scale 30kg",1,199000,2,"GRATIS_ONGKIR",5000,194000
"2022-07-02",83,"Pen Laser Pointer 5mw Warna Merah Beam Laser Merah Pointer Pen Pulpen",2,36800,NULL,NULL,NULL,NULL
"2022-07-02",41,"Timbangan Digital Presisi Kue Dapur Bahan Kitchen Scale Elektrik 10kg - TANPA Baterai",2,46400,2,"GRATIS_ONGKIR",5000,41400
"2022-07-02",73,"T&W Pompa Air Galon Elektrik Dispenser Dengan Tatakan Water Pump - Putih",3,239700,2,"GRATIS_ONGKIR",5000,234700
"2022-07-02",271,"KOTAK CARDIE RAJUT Outerwear Cardigan Rajut Helen Premium OOTD Remaja - Hitam, all size",2,88000,NULL,NULL,NULL,NULL
"2022-07-02",240,"Sweater Candiez Oversize Wanita Sweatshirt Crewneck Switer Terkini - Denim - Mint, L",2,101000,NULL,NULL,NULL,NULL
"2022-07-02",350,"Studio Tropik: Balance Priming Water - 150 ml",2,168300,NULL,NULL,NULL,NULL
"2022-07-02",269,"Jaket wanita zipper fleece peach polos sansscollection - peach, M",3,187200,2,"GRATIS_ONGKIR",5000,182200
"2022-07-02",204,"Troveast Jaket Parasut Outdoor Waterproof - Trov Maron Grey, L",2,338000,2,"GRATIS_ONGKIR",5000,333000
"2022-07-02",371,"SUNISA Air cushian foundation BB cream BERKUALITAS - natural",2,39000,2,"GRATIS_ONGKIR",5000,34000
